Data,Lifetime Total Likes,Daily New Likes,Daily Unlikes,Daily Page Engaged Users,Weekly Page Engaged Users,28 Days Page Engaged Users,Daily Total Reach,Weekly Total Reach,28 Days Total Reach,Daily Organic Reach,Weekly Organic Reach,28 Days Organic Reach,Daily Paid Reach,Weekly Paid Reach,28 Days Paid Reach,Daily Viral Reach,Weekly Viral Reach,28 Days Viral Reach,Daily Total Impressions,Weekly Total Impressions,28 Days Total Impressions,Daily Organic impressions,Weekly Organic impressions,28 Days Organic impressions,Daily Paid Impressions,Weekly Paid Impressions,28 Days Paid Impressions,Daily Viral impressions,Weekly Viral impressions,28 Days Viral impressions,Daily Logged-in Page Views,Weekly Logged-in Page Views,Daily Logged-in Page Views,Weekly Logged-in Page Views,Daily Reach Of Page Posts,Weekly Reach Of Page Posts,28 Days Reach Of Page Posts,Daily Organic Reach of Page posts,Weekly Organic Reach of Page posts,28 Days Organic Reach of Page posts,Daily Paid Reach of Page posts,Weekly Paid Reach of Page posts,28 Days Paid Reach of Page posts,Daily Viral Reach Of Page Posts,Weekly Viral Reach Of Page Posts,28 Days Viral Reach Of Page Posts,Daily Total Impressions of your posts,Weekly Total Impressions of your posts,28 Days Total Impressions of your posts,Daily Organic impressions of your posts,Weekly Organic impressions of your posts,28 Days Organic impressions of your posts,Daily Paid impressions of your posts,Weekly Paid impressions of your posts,28 Days Paid impressions of your posts,Daily Viral Impressions Of Your Posts,Weekly Viral Impressions Of Your Posts,28 Days Viral Impressions Of Your Posts,Daily Total Consumers,Weekly Total Consumers,28 Days Total Consumers,Daily Page Consumptions,Weekly Page Consumptions,28 Days Page Consumptions,Daily Negative Feedback,Weekly Negative Feedback,28 Days Negative Feedback,Daily Negative Feedback From Users,Weekly Negative Feedback From Users,28 Days Negative Feedback From Users,Daily Total Check-Ins,Weekly Total Check-Ins,28 Days Total Check-Ins,Daily Total Check-Ins,Weekly Total Check-Ins,28 Days Total Check-Ins,Daily Total Check-Ins Using Mobile Devices,Weekly Total Check-Ins Using Mobile Devices,28 Days Total Check-Ins Using Mobile Devices,Daily Total Check-Ins Using Mobile Devices,Weekly Total Check-Ins Using Mobile Devices,28 Days Total Check-Ins Using Mobile Devices,Daily Total Organic Views,Weekly Total Organic Views,28 Days Total Organic Views,Daily Total Promoted Views,Weekly Total Promoted Views,28 Days Total Promoted Views,Daily Total Organic 30-Second Views,Weekly Total Organic 30-Second Views,28 Days Total Organic 30-Second Views,Daily Paid 30-Second Views,Weekly Paid 30-Second Views,28 Days Paid 30-Second Views,Daily Total Video Views,Weekly Total Video Views,28 Days Total Video Views,Daily Total Auto-Played Views,Weekly Total Auto-Played Views,28 Days Total Auto-Played Views,Daily Total Clicked Views,Weekly Total Clicked Views,28 Days Total Clicked Views,Daily Video Repeats,Weekly Video Repeats,28 Days Video Repeats,Daily Total Unique Video Views,Weekly Total Unique Video Views,28 Days Total Unique Video Views,Daily Total 30-Second Views,Weekly Total 30-Second Views,28 Days Total 30-Second Views,Daily Auto-Played 30-Second Views,Weekly Auto-Played 30-Second Views,28 Days Auto-Played 30-Second Views,Daily Total Clicked 30-Second Views,Weekly Total Clicked 30-Second Views,28 Days Total Clicked 30-Second Views,Daily Total 30-Second Repeats,Weekly Total 30-Second Repeats,28 Days Total 30-Second Repeats,Daily Total Unique 30-Second Views,Weekly Total Unique 30-Second Views,28 Days Total Unique 30-Second Views,Daily Total: total action count per Page,Weekly Total: total action count per Page,Daily Total get direction click count per Page,Weekly Total get direction click count per Page,Daily Total get direction click count per Page,Weekly Total get direction click count per Page,Daily Total phone calls click count per Page,Weekly Total phone calls click count per Page,Daily Total phone calls click count per Page,Weekly Total phone calls click count per Page,Daily Total website click count per Page,Weekly Total website click count per Page,Daily Total website click count per Page,Weekly Total website click count per Page
7/18/20,20059,6,,664,4616,17659,41118,150959,507703,1362,5352,13496,40261,148445,501759,147,2127,6420,63097,502457,2027772,2093,17163,78972,60918,484515,1944809,229,2812,11224,86,779,40,315,41105,150724,507412,1358,5014,12718,40261,148445,501759,142,2088,6203,63003,498811,2013183,2085,14296,68374,60918,484515,1944809,221,2666,10681,611,4443,17076,788,6430,29200,,1,7,,1,8,,,,,,,,,,,,,26,329,3664,8214,63443,131436,6,57,629,523,4174,10251,8240,63772,135100,8229,63671,129636,11,101,5464,1188,30589,71164,7052,33183,63936,529,4231,10880,521,4175,9835,8,56,1045,16,595,2008,513,3636,8872,,12,,,,,,,,,,9,,8
7/19/20,20059,2,2,697,4408,17041,49473,150562,489224,465,5409,13527,49209,147581,483702,167,2118,6417,75042,499834,1972641,1537,17851,79363,73401,481188,1889314,221,2734,11171,104,795,56,324,49473,150270,489108,460,5003,12760,49209,147581,483702,161,2074,6205,74927,496196,1958090,1526,15008,68776,73401,481188,1889314,211,2613,10640,665,4227,16496,912,6022,28472,,1,7,,1,8,,,,,,,,,,,,,34,293,3598,9913,63160,136443,1,46,618,643,4163,10386,9947,63453,140041,9929,63356,135211,18,97,4830,1456,30998,76002,8491,32455,64039,644,4209,11004,633,4158,10051,11,51,953,23,567,2026,621,3642,8978,1,13,,,,,,,,,1,10,1,9
7/20/20,20060,2,1,642,4235,16608,33739,142146,464461,1026,5207,13617,32976,139363,457445,179,2158,6416,47316,465748,1893393,1636,15463,77061,45546,449484,1812376,248,2788,11133,134,801,58,316,33739,141937,463800,1021,4837,12860,32976,139363,457445,173,2121,6215,47171,463427,1878863,1625,13943,66487,45546,449484,1812376,237,2687,10615,608,4061,16074,765,5873,27817,1,2,7,1,2,7,,,,,,,,,,,,,29,250,3538,3131,56527,135141,3,35,611,215,3738,10184,3160,56777,138679,3155,56693,134445,5,84,4234,426,26883,75966,2734,29894,62713,218,3773,10795,217,3730,9938,1,43,857,6,464,1889,212,3309,8906,3,15,,,,,,,,,2,11,2,9
7/21/20,20063,6,2,721,4180,16430,25850,139201,446551,481,5014,13573,25156,136448,440062,77,1969,6395,37155,428774,1809810,2079,15674,77269,34903,412274,1728532,115,2588,11078,173,826,89,358,25418,139201,445940,268,4734,12795,25156,136448,440062,72,1933,6197,36014,426259,1794655,1111,13985,66123,34903,412274,1728532,107,2492,10562,683,4017,15912,893,5925,27514,,2,6,,2,6,,,,,,,,,,,,,44,253,3512,130,47098,130549,7,35,605,28,3174,9718,174,47351,134061,171,47285,130297,3,66,3764,30,21677,73508,144,25674,60553,35,3209,10323,32,3175,9551,3,34,772,1,354,1750,34,2855,8573,2,12,,,,,,,,,2,10,2,8
7/22/20,20066,5,2,754,4120,15851,21089,134519,424976,1648,4551,12291,19594,131900,417949,84,1424,5625,30176,385267,1717729,2870,15188,73700,27165,369228,1640043,157,2019,10156,141,851,72,358,20657,134379,423552,1322,4120,11433,19594,131900,417949,75,1390,5450,29506,382236,1702910,2341,13008,62867,27165,369228,1640043,136,1921,9651,737,3961,15417,1020,5995,26778,,1,4,,1,4,,,,,,,,,,,,,33,233,3439,159,38333,126758,5,29,600,39,2589,9364,192,38566,130197,189,38503,126983,3,63,3214,26,16237,71638,166,22329,58559,44,2618,9964,42,2586,9286,2,32,678,1,252,1709,43,2366,8255,4,11,,,,,,,,,1,6,1,5
7/23/20,20069,4,1,792,4025,15376,27506,132699,409432,1029,3860,12022,26712,130572,402486,111,928,5553,38218,353090,1641480,2503,14112,73336,35596,338121,1564164,155,1432,10018,119,857,55,370,27378,132562,408110,898,3391,11174,26712,130572,402486,106,884,5384,37484,350055,1626499,1888,11934,62335,35596,338121,1564164,146,1344,9538,759,3893,14906,1082,6193,26603,1,2,4,1,2,4,,,,,,,,,,,,,89,293,3460,141,29764,122632,18,43,604,23,2026,8953,230,30057,126092,192,29969,123436,38,88,2656,32,11103,68805,198,18954,57287,41,2069,9557,33,2033,8960,8,36,597,2,167,1589,39,1902,7968,2,12,,,,,,,,,,6,,5
7/24/20,20070,2,1,756,4235,14680,30012,130668,387099,945,3583,11969,29146,128340,380277,53,746,5546,41529,332533,1572085,2309,15027,72598,39075,316604,1495494,81,1206,9927,145,902,65,390,29894,130448,385917,792,3076,11098,29146,128340,380277,41,697,5357,40666,328771,1557003,1591,12167,61509,39075,316604,1495494,64,1122,9439,723,4112,14191,1005,6465,26402,,2,4,,2,4,,,,,,,,,,,,,40,295,3451,136,21824,119310,4,44,601,36,1507,8650,176,22119,122761,147,22012,120555,29,107,2206,21,6529,67409,155,15590,55352,40,1551,9251,37,1515,8735,3,36,516,2,135,1526,38,1416,7725,1,13,,,,,,,,,,6,,5
7/25/20,20074,4,,763,4374,14557,27697,125244,359809,226,3168,11753,27573,123242,354140,49,651,5467,38079,307515,1509868,639,13573,71910,37364,293050,1433995,63,1040,9787,76,892,46,397,27697,125041,358787,202,2659,10898,27573,123242,354140,35,600,5279,37969,303737,1494886,605,10687,60891,37364,293050,1433995,50,951,9304,736,4235,13996,1254,6931,26537,,2,4,,2,4,,,,,,,,,,,,,36,305,3434,126,13736,115586,2,40,594,31,1015,8260,162,14041,119020,141,13924,117339,21,117,1681,23,3145,65853,139,10896,53167,33,1055,8854,29,1023,8423,4,32,431,2,62,1469,31,993,7385,1,14,,,,,,,,,1,7,1,6
7/26/20,20082,9,,958,4626,14493,35929,109265,323942,177,3063,11572,35842,107365,318765,75,569,5369,50760,283233,1448301,884,12920,71706,49776,269425,1372611,129,948,9696,100,888,53,397,35922,109019,323654,170,2518,10716,35842,107365,318765,67,513,5184,50648,279458,1433301,872,10033,60690,49776,269425,1372611,117,857,9216,925,4451,13960,1431,7450,26785,,2,4,,2,4,,,,,,,,,,,,,46,317,3429,124,3947,111207,6,45,596,31,403,7862,170,4264,114636,138,4133,113584,32,131,1052,16,646,64889,154,3618,49747,37,448,8458,30,420,8110,7,28,348,,35,1404,37,413,7054,,13,,,,,,,,,,6,,6
7/27/20,20086,7,1,759,4674,14179,36202,106702,286934,822,3058,11527,35825,105103,280507,56,489,5346,50949,286866,1379697,2093,13377,72930,48699,272578,1302744,146,846,9699,157,911,67,407,36150,106194,285597,640,2431,10594,35825,105103,280507,48,434,5151,50275,282562,1364156,1576,9984,61412,48699,272578,1302744,134,754,9222,730,4487,13587,966,7651,26544,,1,4,,1,4,,,,,,,,,,,,,74,362,3471,175,991,108116,16,58,609,37,225,7597,249,1353,111587,219,1197,110950,30,156,637,51,310,63949,198,1043,47638,53,283,8206,45,248,7922,8,35,284,10,35,1403,43,248,6803,3,13,,,,,,,,,,4,,4
7/28/20,20086,1,1,912,4816,14594,41614,115054,285504,1920,3521,11293,39958,113479,278939,212,613,5198,60901,310612,1404290,3029,14327,71523,57695,295370,1328839,270,1001,9349,177,915,91,406,41507,114870,284181,1784,2942,10384,39958,113479,278939,206,557,5014,60510,307058,1389496,2815,11688,60657,57695,295370,1328839,256,903,8871,884,4655,14001,1151,7909,27104,1,2,5,1,2,5,,,,,,,,,,,,,56,374,3464,122,983,108036,9,60,610,24,221,7597,178,1357,111500,143,1169,110832,35,188,668,23,326,64040,155,1031,47460,33,281,8207,28,244,7919,5,37,288,4,40,1416,29,241,6791,,11,,,,,,,,,,2,,2
7/29/20,20090,4,,1023,5247,15296,63476,145309,310463,1184,3444,11201,62713,144361,304367,305,823,5303,105664,386100,1506308,2643,14100,71113,102890,371095,1431341,478,1322,9449,131,905,63,399,63064,145234,309872,857,2867,10144,62713,144361,304367,107,580,4969,104727,382279,1491515,1837,11184,60174,102890,371095,1431341,145,912,8699,974,4827,14649,1236,8125,28195,,2,5,,2,5,,,,,,,,,,,,,73,414,3485,141,965,108177,14,69,608,21,203,7618,214,1379,111662,180,1160,110962,34,219,700,43,331,64143,171,1048,47519,35,272,8226,29,231,7934,6,41,292,4,37,1427,31,235,6799,4,11,,,,,,,,,,1,,1
7/30/20,20094,4,,1191,5568,15955,79658,173218,333101,2130,3968,11310,78308,172006,328028,233,940,5244,115482,463364,1610393,4005,15602,70853,111309,446808,1535703,295,1462,9122,168,954,54,395,79633,173102,332279,1980,3381,10157,78308,172006,328028,199,657,4880,114164,458959,1594644,2855,12151,58941,111309,446808,1535703,244,1010,8337,1141,5358,15269,1413,8456,29338,,1,5,,1,5,,,,,,,,,,,,,37,362,3486,116,940,108293,5,56,603,26,206,7644,153,1302,111779,127,1095,111059,26,207,720,10,281,64174,143,1021,47605,31,262,8247,28,226,7957,3,36,290,1,35,1442,30,227,6805,3,12,,,,,,,,,2,3,2,3
